imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt1127702,Mission London,2010,Comedy,1850000,0,6.6
tt1127897,True Nature,2010,Thriller,0,0,5.8
tt1129396,Radio Free Albemuth,2010,Drama,3600000,0,5.0
tt1129404,Another Harvest Moon,2010,Drama,0,0,5.0
tt1129412,Circle,2010,Horror,0,0,3.8
tt1129427,Miss Nobody,2010,Comedy,0,0,4.8
tt1129437,Skinning,2010,Action,500000,198,5.9
tt1130089,Legends of Flight,2010,Documentary,3000000,0,5.8
tt1130884,Shutter Island,2010,Mystery,80000000,294804195,8.1
tt1130964,The 5th Quarter,2010,Biography,6000000,399611,4.7
tt1130969,Sinners and Saints,2010,Action,0,0,5.7
tt1134846,Donkeys,2010,Comedy,0,0,8.0
tt1135083,Trader Games,2010,Action,0,0,5.4
tt1135084,Takers,2010,Action,32000000,69055695,6.2
tt1136688,Abelar: Tales of an Ancient Empire,2010,Action,1000000,0,3.3
tt1137482,The Story of F***,2010,Comedy,0,0,6.0
tt1138442,A Better Tomorrow,2010,Action,8700000,0,6.2
tt1139328,The Ghost Writer,2010,Drama,45000000,60222298,6.8
tt1141306,"One Life, Maybe Two",2010,Drama,0,0,6.0
tt1143896,Holy Rollers,2010,Biography,0,0,6.0
tt1144546,Holyman Undercover,2010,Comedy,0,0,2.3
tt1145430,By Day and by Night,2010,Drama,0,0,4.8
tt1151919,On a Dark and Stormy Night,2010,Horror,0,0,2.0
tt1152822,Freakonomics,2010,Documentary,3000000,103735,6.6
tt1152827,Super Hybrid,2010,Horror,13000000,0,5.0
tt1155076,The Karate Kid,2010,Action,40000000,357852395,6.3
tt1156527,Cold Water of the Sea,2010,Drama,0,0,6.0
tt1156531,On the Path,2010,Drama,0,0,6.5
tt1159712,Lucky,2010,Documentary,0,0,6.8
tt1159721,Order of Chaos,2010,Thriller,1000000,0,4.4
tt1160371,Heels,2010,Comedy,0,0,5.0
tt1161411,Una hora mßs en Canarias,2010,Comedy,0,0,3.9
tt1164999,Biutiful,2010,Drama,0,25147786,7.2
tt1167512,Kevorkian,2010,Documentary,2500000,0,7.0
tt1167638,22 Bullets,2010,Action,24000000,0,6.5
tt1167675,Saint,2010,Horror,0,0,5.1
tt1168696,Boston Girls,2010,Comedy,1200000,0,10.0
tt1172991,The Company Men,2010,Drama,15000000,4882577,6.5
tt1173687,The Bang Bang Club,2010,Biography,0,0,6.8
tt1174042,The Myth of the American Sleepover,2010,Comedy,0,0,6.2
tt1174693,The Four-Faced Liar,2010,Comedy,2000000,0,5.3
tt1174933,Acorazado,2010,Comedy,1200000,0,4.3
tt1175709,All Good Things,2010,Crime,0,0,6.0
tt1176931,The Good Herbs,2010,Drama,0,0,6.0
tt1179025,The Extraordinary Adventures of Ad?le Blanc-Sec,2010,Action,25000000,34100000,6.0
tt1179034,From Paris with Love,2010,Action,52000000,52826594,6.2
tt1179056,A Nightmare on Elm Street,2010,Crime,35000000,115664037,5.5
tt1179069,6 Souls,2010,Horror,22000000,851517,5.9
tt1179927,Todas las canciones hablan de m?,2010,Comedy,0,0,5.6
tt1181791,Black Death,2010,Action,0,265318,6.0
tt1181795,Bunraku,2010,Action,25000000,0,6.0
tt1182350,You Will Meet a Tall Dark Stranger,2010,Comedy,22000000,0,5.8
tt1182884,Found a Groom,2010,Comedy,5600000,2700000,5.3
tt1182942,S.N.U.B!,2010,Horror,0,0,3.0
tt1183307,The Village of Shadows,2010,Horror,0,0,4.7
tt1183489,Stag Night of the Dead,2010,Action,0,0,3.5
tt1183911,Mr. Nice,2010,Biography,0,850994,6.1
tt1183917,Teen Patti,2010,Crime,1000000,3900000,4.2
tt1183923,Welcome to the Rileys,2010,Drama,0,317382,6.5
tt1183944,Sadiyaan: Boundaries Divide... Love Unites,2010,Drama,0,0,10.0
tt1185412,Veer,2010,Action,1250000,0,5.7
tt1185416,When in Rome,2010,Comedy,55000000,43042835,5.9
tt1186357,Lope,2010,Biography,0,0,5.4
tt1186365,Kung Fu Magoo,2010,Animation,0,0,4.3
tt1186809,March of the Living,2010,Documentary,0,0,10.0
